"","rank","name","year","worldwide_box_office","domestic_box_office","international_box_office"
"1","1","Avatar","2009","$2,923,706,026","$785,221,649","$2,138,484,377"
"2","2","Avengers: Endgame","2019","$2,794,731,755","$858,373,000","$1,936,358,755"
"3","3","Avatar: The Way of Water","2022","$2,318,445,020","$683,768,121","$1,634,676,899"
"4","4","Titanic","1997","$2,222,985,568","$674,396,795","$1,548,588,773"
"5","5","Star Wars Ep. VII: The Force Awakens","2015","$2,064,615,817","$936,662,225","$1,127,953,592"
"6","6","Avengers: Infinity War","2018","$2,048,359,754","$678,815,482","$1,369,544,272"
"7","7","Spider-Man: No Way Home","2021","$1,910,048,245","$814,115,070","$1,095,933,175"
"8","8","Jurassic World","2015","$1,669,963,641","$652,306,625","$1,017,657,016"
"9","9","The Lion King","2019","$1,647,733,638","$543,638,043","$1,104,095,595"
"10","10","The Avengers","2012","$1,515,100,211","$623,357,910","$891,742,301"
"11","11","Furious 7","2015","$1,514,553,486","$353,007,020","$1,161,546,466"
"12","12","Top Gun: Maverick","2022","$1,481,369,482","$718,732,821","$762,636,661"
"13","13","Frozen II","2019","$1,437,862,795","$477,373,578","$960,489,217"
"14","14","Avengers: Age of Ultron","2015","$1,395,316,979","$459,005,868","$936,311,111"
"15","15","Black Panther","2018","$1,336,494,320","$700,059,566","$636,434,754"
"16","16","Star Wars Ep. VIII: The Last Jedi","2017","$1,331,635,141","$620,181,382","$711,453,759"
"17","17","Harry Potter and the Deathly Hallows:…","2011","$1,316,278,261","$381,193,157","$935,085,104"
"18","18","Jurassic World: Fallen Kingdom","2018","$1,308,323,302","$417,719,760","$890,603,542"
"19","19","Beauty and the Beast","2017","$1,268,697,483","$504,014,165","$764,683,318"
"20","20","Frozen","2013","$1,256,887,580","$400,953,009","$855,934,571"
"21","21","Incredibles 2","2018","$1,242,805,359","$608,581,744","$634,223,615"
"22","22","The Fate of the Furious","2017","$1,236,703,796","$225,764,765","$1,010,939,031"
"23","23","Iron Man 3","2013","$1,215,392,272","$408,992,272","$806,400,000"
"24","24","Minions","2015","$1,157,271,759","$336,045,770","$821,225,989"
"25","25","Captain America: Civil War","2016","$1,151,899,586","$408,084,349","$743,815,237"
"26","26","Aquaman","2018","$1,143,758,700","$335,061,807","$808,696,893"
"27","27","Spider-Man: Far From Home","2019","$1,132,107,522","$390,532,085","$741,575,437"
"28","28","Captain Marvel","2019","$1,129,576,094","$426,829,839","$702,746,255"
"29","29","Transformers: Dark of the Moon","2011","$1,123,794,079","$352,390,543","$771,403,536"
"30","30","The Lord of the Rings: The Return of …","2003","$1,121,386,981","$379,021,990","$742,364,991"
"31","31","Skyfall","2012","$1,110,526,981","$304,360,277","$806,166,704"
"32","32","Transformers: Age of Extinction","2014","$1,104,054,072","$245,439,076","$858,614,996"
"33","33","The Dark Knight Rises","2012","$1,082,228,107","$448,139,099","$634,089,008"
"34","34","Toy Story 4","2019","$1,073,064,540","$434,038,008","$639,026,532"
